#xor_srcip xor_dstip xor_prot xor_srcport xor_dstport flowcnt pktcnt
231614 1315956724 23 20 7310 4 144
3580402979 2089153217 17 598 6869 7 52
39125 2704592399 0 122 26194 2 2
2886942891 1182911187 0 443 10625 2 2
2098954601 3701303211 6 370 20465 3 4
3430008119 1997766410 6 415 36081 3 4
382189576 2807698204 0 2 17055 2 2
3301261334 2131446965 6 1154 11159 5 19
2098854961 1925507784 17 154 35923 3 3
388702140 189157532 23 1516 34852 2 2
1743342498 837631077 6 61 12062 3 76
3516579473 1908128360 6 122 35753 3 3
2894180755 257426707 0 188 14172 2 2
3713951493 3410763515 17 1131 43973 3 3
2894288144 2940366135 0 1949 2265 2 10
1910333722 989105172 17 1655 2811 3 221
1785548562 1956582688 17 317 31944 3 3
3715960200 2107535624 17 262 48162 3 3
2873206187 257584856 23 1386 1506 2 5
3344919565 2424634050 17 774 48549 3 3
1899385986 3536891129 6 164 48510 5 30
1912553320 3679901784 6 136 8733 1 1
1910482526 2088182135 17 379 49851 7 12
3596240310 3518209879 17 336 1155 5 5
2861491752 2774749201 23 1589 4808 6 160
216458098 116796260 0 198 29892 2 2
3418031724 2113278041 17 132 31988 3 5
125204571 1190709615 0 2 47919 2 4
3503023783 3573258370 6 252 50501 3 232
2832945872 1128535633 0 956 39025 4 4
2894174893 27744440 23 8 37241 2 2
2783575071 130566829 23 1246 9244 6 33
196590331 2712246023 23 135 52227 4 11
127790970 2705955263 23 751 60895 6 12
1983794114 3319544245 17 60 13265 3 3
2065064189 2081157672 6 60 35901 1 1
3616999123 1898021060 6 1180 47656 3 8
2936269125 251571914 0 1483 7912 4 5
2791631718 1159534343 23 16 36874 6 21
2012628944 990819769 6 60 9581 3 3
2792349350 143856107 23 364 21108 2 2
1912347306 2076255009 17 291 9140 1 1
3669962454 2053401334 6 63 2636 1 6
127343212 2808069041 23 115 50184 4 4
1991198690 979414332 17 160 37766 3 3
1999339602 2486652701 6 1053 52563 5 95
2012548609 1934847981 17 1322 16299 5 5
2894131487 4134939259 23 212 64884 6 10
2805333801 125320573 23 1369 11842 6 6
3716141829 2001593330 17 60 7573 1 1
1806983344 1957251697 6 60 53475 3 3
3658459214 3451451774 17 1517 31149 3 85
1821174040 2370325279 6 1478 31938 5 29
1093224038 155242562 23 262 37297 2 51
1899369333 2076609779 6 1321 6936 3 4
3603434669 2618179867 17 436 34003 5 5
245833 1191502897 23 1665 12145 4 4
2882565219 1190679440 23 178 17395 2 2
246538173 138619 0 0 5766 2 2
58978482 1315677268 23 1037 61358 4 4
3351148605 1966546043 6 1318 54808 7 7
2013082057 909808897 17 275 37151 3 8
2792039649 2732663135 0 366 55807 4 10
71556294 2818772667 0 3 58184 6 133
2433670733 3639783181 17 274 37212 5 5
2086567779 1995331921 6 500 65174 5 5
2882631898 2745411158 23 742 9618 6 29
2861538850 1119673340 0 1285 57198 4 42
2718921392 1191590812 0 162 10654 4 246
1800343847 739938446 6 124 64857 7 23
1911987143 2074639193 17 175 56853 3 3
2098758150 2081145554 6 60 3973 1 5
2903423498 399411527 23 195 61298 4 23
1912382667 1994933764 6 1050 21702 1 1
122696736 182458938 23 796 8486 4 11
3369879955 824617875 6 519 44838 5 6
42398 1262743957 0 178 61592 4 6
2894234999 1101025373 0 84 15243 2 2
183086521 1166626167 23 1296 44564 4 4
2873165228 715880 0 62 10034 4 4
3129316192 2974251215 23 98 15532 2 2
0 0 0 0 0 0 0
2065069049 2053391052 6 60 27098 1 1
53233 3062851355 0 12 23142 2 2
58926597 1308244220 0 802 64479 2 2
3305003118 3708882956 6 762 13308 5 6
3598215849 2528914977 6 286 2274 5 25
183020335 182533840 23 1798 26044 4 26
179010564 976951 23 202 24376 2 2
2732669219 140557652 23 176 34298 4 25
2762200241 2920570228 23 2015 13278 4 93
2894139094 2807745470 23 1133 31484 2 2
3108843742 1272025214 23 783 26377 4 4
3716080554 1934780387 6 66 11564 1 1
2792079988 2914841326 23 1386 6557 4 9
2098766201 3524041220 6 78 64030 5 83
118259 4241437064 0 1338 18827 4 4
2882600155 2728992281 0 1362 53256 2 2
3715968511 2146379869 17 1666 31172 3 3
2051700371 1946804626 17 793 65396 3 3
215792 130757913 0 359 32213 2 2
3732833449 3498726081 17 193 6452 5 5
130099192 159941 0 445 5925 2 2
3669815884 3549879747 17 287 13899 3 3
2882711565 182613744 0 179 13680 2 2
2749828746 2705745277 0 739 31828 6 165
